Title,Link,Views,Duration 
How is Buyer's Persona on Social Media? | Social Media Marketing Pt 2 | DM Tutorial | upGrad,https://www.youtube.com/watch?v=kYA-HJ-gCK0,192,7:44:00
upGrad: Onwards & Upwards Promo | The Indian EdTech Story - Edstead | Disney+ Hotstar,https://www.youtube.com/watch?v=Ljj2T0VMUJM,117,0:48
Generative AI Tutorial for Beginners Part 3 | Code Interpreter ChatGPT Data Analysis Tutorial,https://www.youtube.com/watch?v=ehjhZi20ZhM,236,17:28
ChatGPT: Everyday use cases  | Chapter 14 | upGrad,https://www.youtube.com/watch?v=pofBOgqRzhM,55,12:21
Natural language Prompts  | Chapter 12 | upGrad,https://www.youtube.com/watch?v=u6aIbCNURbE,43,7:04
RDBMS Tutorial for Beginners | What is RDBMS - Relational Data Management System | #RDBMS,https://www.youtube.com/watch?v=cRvVohYpGD0,58,21:16
Simran Shankar | Data Science and Artificial Intelligence | upGrad Campus Testimonial | EP 04 of 365,https://www.youtube.com/watch?v=9B0tCE1o2pI,160,1:43
Vineeta Singh Mentors upGrad Learner - Padma Priya | Shark Tank India S03 x upGrad,https://www.youtube.com/watch?v=Bgpm0fDz-94,617,2:35
Project planning with Chat GPT | Chapter 15 | upGrad,https://www.youtube.com/watch?v=pH4R7SRd3Mg,65,12:47
Amit Jain Mentors upGrad Learner - Vinit Punde | Shark Tank India S03 | Aage Ki Socho,https://www.youtube.com/watch?v=9ilLmxse9pQ,273,2:24
What is Schema in DBMS? | Database Schema | What is Schema in Database | DBMS Tutorial for Beginners,https://www.youtube.com/watch?v=dxSiIT0Xu1w,27,12:01
Peyush Bansal Mentors upGrad Learner - Zeeshan Pathan | Shark Tank India S03 | Aage Ki Socho,https://www.youtube.com/watch?v=7oCK443BHKg,443,2:17
Creating unit tests with Chat GPT | Chapter 10 | upGrad,https://www.youtube.com/watch?v=A0Eg-xooB98,43,7:49
How to Create a Buyer's Persona Using Template? | Social Media Marketing Pt 3 | DM Tutorial | upGrad,https://www.youtube.com/watch?v=BvOrJlX08a8,190,7:55
Brainstorming with Chat GPT  | Chapter 09 | upGrad,https://www.youtube.com/watch?v=E7r-alkuSFs,25,7:01
Reviewing code with Chat GPT | Chapter 03 | upGrad,https://www.youtube.com/watch?v=FwWmJ55C-6M,81,8:40
Using Chat GPT for Unit testing | Chapter 06 | upGrad,https://www.youtube.com/watch?v=5q6D3xqpWHw,37,4:16
Namita Thapar Mentors upGrad Learner - Anshul Saxena | Shark Tank India S03 x upGrad,https://www.youtube.com/watch?v=lp9w-G4RrdE,585,2:21
Not getting campus placements is not the end | #AageKiSocho with upGrad,https://www.youtube.com/watch?v=GT0-lVWsmkg,"5,686",0:30
upGrad in 60 seconds | Aage Ki Socho,https://www.youtube.com/watch?v=SxgLLGPKTSo,763,1:08
upGrad in 60 seconds - Explained,https://www.youtube.com/watch?v=YpwXLyZz1O8,"8,372",1:12
How to Create Instagram Reels Using Canva 2024 | Instagram Reels Tutorial | Canva Tutorial,https://www.youtube.com/watch?v=kGHYjXGPz1w,345,16:08
How to Create Interactive Dashboard & New Story in Tableau? [Step-by-Step Guide] | Tableau Tutorial,https://www.youtube.com/watch?v=ujXAL36bD84,179,20:13
Python Pandas Tutorial Part 1 | What is Pandas? | How to Create Series & DataFrames in Pandas?,https://www.youtube.com/watch?v=NF5slyLbzN8,219,2:50
Feel you’ve peaked at work? | #AageKiSocho with upGrad,https://www.youtube.com/watch?v=5y1k2LCbAUY,"3,899",0:30
Dr. Santosh Sharma | MBA with Liverpool Business School | upGrad Testimonial | EP 02 of 365,https://www.youtube.com/watch?v=SAgxhoTUlmk,74,7:22:00
ETL and Cloud | Benefits of Using Cloud in the ETL process | How Cloud Works in ETL? | #etl,https://www.youtube.com/watch?v=WKXDNQhagy8,32,5:35
Optimising code with Chat GPT | Chapter 05 | upGrad,https://www.youtube.com/watch?v=2OZUklZLgno,50,4:47
Documenting code with Chat GPT | Chapter 08 | upGrad,https://www.youtube.com/watch?v=7_GbuR4HrnY,21,5:12
Data Warehouse Tutorial | Data Warehouse Design | Data Warehouse Design and Implementation,https://www.youtube.com/watch?v=b8rKHu6XRcs,43,15:36
"The CXO Show | Ep. 14 | Yogesh Dimri, Head of Learning & Development, Pathkind Labs",https://www.youtube.com/watch?v=PxqN2V_Vui8,154,20:50
